,,Phosphocholine,,
86,BrP-LPA,"1-Bromo-3(S)-hydroxy-4-
(palmitoyloxy) butyl] phosphonate",Echelon,L-7416
50,Diacylglycerol (18:1 DG),"1,2-dioleoyl-sn-glycerol",Avanti,800811
85,C12-ether LBPA,"(R,R)-2,2'-Bisdodecyl-LBPA
ammonium salt",Echelon,"L-
B120e"
91,2-AG,2-arachidonoyl glycerol,Avanti,870450
,,Glycerol phosphate (40%),Fluka,3391
