Antibody,Part Number,Target,Lot Number,"Concentration
(mg/mL)","Dilution
(µg/mL)"
"Humanized
anti-LPA",LT 3015,LPA,LR81055,19.3 mg/ml,0.5 µg/ml
"Humanized
anti-LPA",LT 3017,LPA,LP91090-42,0.91 mg/ml,0.5 µg/ml
"Humanized
anti-LPA",LT 3114,LPA,LP91183,1.54 mg/ml,0.5 µg/ml
"Murine anti-
LPA",504B3,LPA,LP91172,11.4 mg/ml,0.5 µg/ml
